Period,MCP-Price,MCP-Buy Quantity,MCP-Sell Quantity,A1-Price,A1-Buy Quantity,A1-Sell Quantity,A2-Price,A2-Buy Quantity,A2-Sell Quantity,E1-Price,E1-Buy Quantity,E1-Sell Quantity,E2-Price,E2-Buy Quantity,E2-Sell Quantity,N1-Price,N1-Buy Quantity,N1-Sell Quantity,N2-Price,N2-Buy Quantity,N2-Sell Quantity,N3-Price,N3-Buy Quantity,N3-Sell Quantity,S1-Price,S1-Buy Quantity,S1-Sell Quantity,S2-Price,S2-Buy Quantity,S2-Sell Quantity,S3-Price,S3-Buy Quantity,S3-Sell Quantity,W1-Price,W1-Buy Quantity,W1-Sell Quantity,W2-Price,W2-Buy Quantity,W2-Sell Quantity,W3-Price,W3-Buy Quantity,W3-Sell Quantity
06:00 - 06:15,5000.45,7564.80,7564.80,5000.45,0.00,92.00,5000.45,8.10,45.00,5000.45,1342.00,1084.60,5000.45,455.00,451.50,5000.45,484.20,1339.10,5000.45,5.80,1092.10,5000.45,0.00,200.00,5000.45,51.01,1032.00,5000.45,444.19,82.30,5000.45,0.00,5.00,5000.45,33.80,874.20,5000.45,4540.70,831.60,5000.45,200.00,435.40
06:15 - 06:30,5102.57,7427.10,7427.10,5102.57,0.00,88.00,5102.57,33.10,45.00,5102.57,1164.00,1065.60,5102.57,455.00,451.50,5102.57,500.30,1339.10,5102.57,5.80,1080.10,5102.57,0.00,200.00,5102.57,36.10,937.30,5102.57,417.30,82.30,5102.57,0.00,5.00,5102.57,33.80,874.20,5102.57,4581.70,823.60,5102.57,200.00,435.40
06:30 - 06:45,6599.46,7782.10,7782.10,6599.46,0.00,91.00,6599.46,8.10,45.00,6599.46,1026.00,1050.60,6599.46,455.00,451.50,6599.46,516.50,1339.10,6599.46,5.80,1078.30,6599.46,0.00,200.00,6599.46,10.20,1094.10,6599.46,600.00,82.30,6599.46,0.00,95.00,6599.46,33.80,924.20,6599.46,4926.70,895.60,6599.46,200.00,435.40
06:45 - 07:00,6989.32,7887.20,7887.20,6989.32,0.00,95.00,6989.32,23.10,45.00,6989.32,882.00,1033.60,6989.32,455.00,451.50,6989.32,532.60,1339.10,6989.32,5.80,1092.70,6989.32,0.00,200.00,6989.32,10.20,1094.10,6989.32,600.00,82.30,6989.32,0.00,98.20,6989.32,33.80,924.30,6989.32,5144.70,996.00,6989.32,200.00,435.40
07:00 - 07:15,5500.95,7941.60,7941.60,5500.95,0.00,108.00,5500.95,63.10,150.00,5500.95,660.00,1023.60,5500.95,455.00,451.50,5500.95,569.15,1336.20,5500.95,167.40,1102.00,5500.95,0.00,200.00,5500.95,21.55,1394.10,5500.95,606.90,82.30,5500.95,0.00,5.00,5500.95,38.80,874.40,5500.95,5159.70,779.10,5500.95,200.00,435.40
07:15 - 07:30,6599.21,8095.40,8095.40,6599.21,0.00,109.00,6599.21,68.10,150.00,6599.21,660.00,1013.60,6599.21,455.00,451.50,6599.21,605.20,1336.20,6599.21,304.40,1102.00,6599.21,0.00,200.00,6599.21,10.20,1394.10,6599.21,600.00,82.30,6599.21,0.00,95.00,6599.21,38.80,924.40,6599.21,5153.70,801.90,6599.21,200.00,435.40
07:30 - 07:45,6469.42,7979.70,7979.70,6469.42,0.00,109.00,6469.42,68.10,150.00,6469.42,660.00,1004.60,6469.42,455.00,451.50,6469.42,637.50,1336.20,6469.42,362.40,1090.00,6469.42,0.00,200.00,6469.42,10.20,1394.10,6469.42,400.00,82.30,6469.42,0.00,95.00,6469.42,38.80,895.50,6469.42,5147.70,736.10,6469.42,200.00,435.40
07:45 - 08:00,5989.66,7897.00,7897.00,5989.66,0.00,110.00,5989.66,68.10,150.00,5989.66,710.00,994.60,5989.66,455.00,451.50,5989.66,613.30,1336.20,5989.66,385.40,1092.00,5989.66,0.00,200.00,5989.66,10.70,1394.10,5989.66,300.00,82.30,5989.66,0.00,64.10,5989.66,38.80,874.70,5989.66,5135.70,712.10,5989.66,180.00,435.40
08:00 - 08:15,5094.09,7163.30,7163.30,5094.09,0.00,115.00,5094.09,68.10,150.00,5094.09,710.00,984.60,5094.09,455.00,448.60,5094.09,1005.20,1292.30,5094.09,56.00,1063.70,5094.09,0.00,200.00,5094.09,46.70,833.80,5094.09,17.80,82.30,5094.09,0.00,5.00,5094.09,38.80,870.10,5094.09,4625.70,682.50,5094.09,140.00,435.40
08:15 - 08:30,5102.00,7213.50,7213.50,5102.00,0.00,112.00,5102.00,73.10,150.00,5102.00,710.00,981.60,5102.00,455.00,448.60,5102.00,1005.20,1142.30,5102.00,56.00,1082.70,5102.00,0.00,200.00,5102.00,40.40,1031.80,5102.00,17.30,82.30,5102.00,0.00,5.00,5102.00,38.80,870.30,5102.00,4677.70,671.50,5102.00,140.00,435.40
