Delivery Date,Portfolio Name,Portfolio Code,Total Injection (MWh),Total Drawal (MWh),Absolute Sum (MWh),Invoice,NLDC Application Charges,CTU Charges,NLDC Sch. & Oper. Charges,STU Charges,Distribution Charges,SLDC Charges,ALDC Charges,Fees,IGST,SGST,CGST,UTGST,Final Obligation
19/09/2018,Mumbai_International_Airport_Pvt_Ltd_900000784514,W2MH0TPT0473,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Mumbai_International_Airport_Pvt_Ltd_900000784521,W2MH0TPT0471,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Mumbai_International_Airport_Pvt_Ltd_900000787014,W2MH0TPT0558,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,NACL_Industries_Ltd_SKL_099,S1AP0TPT0243,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Nav_Bharat_ventures_Ltd,E2OR0TPT0026,-1144.80000000000,0.00000000000,1144.80000000000,6043006.63,14.53,400107.60,200.00,71550.00,0.00,2000.00,0.00,22896.00,4121.28,0.00,0.00,0.00,5542117.22,
19/09/2018,Nava_Bharat_Ventures_Ltd_Paloncha,S1TG0TPT0170,-173.40000000000,0.00000000000,173.40000000000,965037.65,14.53,8323.20,173.40,17610.50,0.00,1000.00,0.00,3468.00,624.24,0.00,0.00,0.00,933823.78,
19/09/2018,Netmagic_IT_Services_Pvt_Ltd_900000746247,W2MH0TPT0555,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Netmagic_IT_Services_Pvt_Ltd_900000746258,W2MH0TPT0556,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Netmagic_IT_Services_Pvt_Ltd_900000865337,W2MH0TPT0557,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Netmagic_IT_Services_Pvt_Ltd_900000900597,W2MH0TPT0568,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Netmagic_Solutions_Pvt_Ltd_900000041557,W2MH0TPT0481,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Netmagic_Solutions_Pvt_Ltd_900000068965,W2MH0TPT0482,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Netmagic_Solutions_Pvt_Ltd_900000080207,W2MH0TPT0483,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Rapid_Metro_Rail_Gurgaon_South_Ltd_Sector_53_Gurgaon,N1HR0TPT0533,0.00000000000,3.00000000000,3.00000000000,-9525.81,14.53,1048.50,3.00,1080.00,0.00,1000.00,0.00,60.00,10.80,0.00,0.00,0.00,-12742.64,
19/09/2018,SLS_Power_Corporation_Limited,S1TG0TPT0363,-271.20000000000,0.00000000000,271.20000000000,1431571.80,14.53,13017.60,200.00,27543.07,0.00,1000.00,0.00,5424.00,976.32,0.00,0.00,0.00,1383396.28,
19/09/2018,SP_Spinning_Mills_Pvt_Ltd_SEDC_HTSC_74,S2TN0TPT0330,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Sainj_HEP_(100_MW),N1SJ0TPT0531,-1334.70000000000,0.00000000000,1334.70000000000,7348417.69,14.53,215020.17,200.00,0.00,0.00,0.00,0.00,26694.00,4804.92,0.00,0.00,0.00,7101684.07,
19/09/2018,Sakku_Spinning_Mills_Ltd,S1AP0TPT0045,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Sathavahana_Ispat_Limited_(SIL),S1KA0TPT0035,-168.00000000000,0.00000000000,168.00000000000,886814.39,14.53,58716.00,168.00,13440.00,0.00,1000.00,0.00,3360.00,604.80,0.00,0.00,0.00,809511.06,
19/09/2018,Shamanur_Sugars_Limited_(SSL),S1KA0TPT0368,0.00000000000,6.40000000000,6.40000000000,-34593.93,14.53,1754.24,6.40,512.00,0.00,1000.00,0.00,128.00,23.04,0.00,0.00,0.00,-38032.14,
19/09/2018,Shiva_Mills_Limited_DEDC_HTSC_84,S2TN0TPT0065,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Shiva_Textyarn_Ltd_Karanampettai,S2TN0TPT0052,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Shri_hiranyakeshi_sahakari_Sakkare_Karkhane_Niyamit,S1KA0TPT0013,0.00000000000,6.00000000000,6.00000000000,-32514.68,14.53,1644.60,6.00,480.00,0.00,1000.00,0.00,120.00,21.60,0.00,0.00,0.00,-35801.41,
19/09/2018,Shriram_Foundary_Pvt_Ltd,N2UA0TPT0142,0.00000000000,73.00000000000,73.00000000000,-396213.53,14.53,14512.40,73.00,7463.52,0.00,1000.00,0.00,1460.00,262.80,0.00,0.00,0.00,-420999.78,
19/09/2018,Smartchem_Technologies_Ltd,S1AP0TPT0268,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Space_Textiles_(P)_Ltd_CBE_SEDC_HTSC_242,S2TN0TPT0048,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Star_Metallics_and_Power_Private_Limited,S1KA0TPT0138,-54.00000000000,0.00000000000,54.00000000000,291504.43,14.53,18873.00,54.00,4320.00,0.00,1000.00,0.00,1080.00,194.40,0.00,0.00,0.00,265968.50,
19/09/2018,Tata_Power_Haldia,E1WB0TPT0008,-384.00000000000,0.00000000000,384.00000000000,2027004.32,14.53,47385.60,200.00,30720.00,0.00,1000.00,0.00,7680.00,1382.40,0.00,0.00,0.00,1938621.79,
